Layout_x,Layout_y
0.0,0.0
104.0,0.0
208.0,0.0
312.0,0.0
416.0,0.0
520.0,0.0
624.0,0.0
728.0,0.0
832.0,0.0
936.0,0.0
52.0,104.0
156.0,104.0
260.0,104.0
364.0,104.0
468.0,104.0
572.0,104.0
676.0,104.0
780.0,104.0
884.0,104.0
988.0,104.0
0.0,208.0
104.0,208.0
208.0,208.0
312.0,208.0
416.0,208.0
520.0,208.0
624.0,208.0
728.0,208.0
832.0,208.0
936.0,208.0
52.0,312.0
156.0,312.0
260.0,312.0
364.0,312.0
468.0,312.0
572.0,312.0
676.0,312.0
780.0,312.0
884.0,312.0
988.0,312.0
0.0,416.0
104.0,416.0
208.0,416.0
312.0,416.0
416.0,416.0
520.0,416.0
624.0,416.0
728.0,416.0
832.0,416.0
936.0,416.0
