average_wind_speed_mps,average_wind_dir_deg,Factorized_Mean
3.95825,45.0,8.435872198963999
5.0,45.0,12.117234333213268
5.972,50.625,15.958265585031041
4.653,56.25,10.838925504928449
3.5417499999999995,56.25,7.100480662360755
4.16675,33.75,9.134526463943047
4.653,56.25,10.838925504928449
4.23625,61.875,9.371766335148934
3.403,61.875,6.673997215106625
3.75,50.625,7.757976593798801
2.8472500000000003,112.5,5.06243759309653
3.2640000000000002,90.0,6.256230376842756
3.0557499999999997,275.625,5.648493348396787
3.54175,123.75,7.100480662360756
4.93075,61.875,11.858100431544178
4.375,73.125,9.851809123748527
3.0555,39.375,5.647777078437782
2.70825,50.625,4.684546619665715
2.8472500000000003,39.375,5.06243759309653
3.40275,174.375,6.673237261632509
2.8472500000000003,16.875,5.06243759309653
3.4724999999999997,112.5,6.886451518360943
3.54175,45.0,7.100480662360756
3.3335,73.125,6.463916120764778
4.02775,28.125,8.666562728819049
3.4722500000000003,61.875,6.8856830670634
3.81975,56.25,7.982779921981025
3.3335000000000004,33.75,6.463916120764779
3.75,50.625,7.757976593798801
3.8890000000000002,45.0,8.20821667018004
3.6109999999999998,67.5,7.316823974530245
3.0555000000000003,146.25,5.647777078437783
2.6390000000000002,123.75,4.500192119818044
3.8195000000000006,67.5,7.981970112034359
3.8195,50.625,7.981970112034357
4.1667499999999995,67.5,9.134526463943043
4.305499999999999,39.375,9.610291701625748
5.4167499999999995,61.875,13.718136742530302
4.4445,50.625,10.095446028350201
4.236000000000001,39.375,9.370909091001906
3.3332500000000005,56.25,6.463164743582248
3.2640000000000002,106.875,6.256230376842756
3.61125,50.625,7.317609165134067
6.0417499999999995,56.25,16.248088041608984
5.694500000000001,67.5,14.82368493334006
5.2085,39.375,12.90935774511726
3.61125,50.625,7.317609165134067
4.65275,50.625,10.83802285683589
5.20825,61.875,12.90839733231194
4.4445,67.5,10.095446028350201
3.88875,73.125,8.20739881784504
3.8890000000000002,67.5,8.20821667018004
4.7915,78.75,11.343075253859746
4.999750000000001,67.5,12.116295260464971
4.37525,73.125,9.852681726268624
2.9859999999999998,45.0,5.4499083042826575
4.02775,39.375,8.666562728819049
4.1665,67.5,9.133676983988275
4.3055,67.5,9.610291701625751
2.84725,39.375,5.062437593096528
2.84725,84.375,5.062437593096528
3.125,174.375,5.848136941263102
3.403,118.125,6.673997215106625
3.8887500000000004,95.625,8.207398817845041
3.0555000000000003,140.625,5.647777078437783
3.40275,61.875,6.673237261632509
3.4027499999999997,39.375,6.673237261632507
3.95825,90.0,8.435872198963999
3.33325,112.5,6.463164743582247
3.40275,118.125,6.673237261632509
3.75,61.875,7.757976593798801
4.65275,50.625,10.83802285683589
4.65275,50.625,10.83802285683589
3.61125,129.375,7.317609165134067
3.4030000000000005,67.5,6.673997215106627
3.9585,56.25,8.436698058182944
3.8890000000000002,39.375,8.20821667018004
5.13875,67.5,12.642387834144273
4.167,33.75,9.135375971930555
5.34725,84.375,13.446283331066205
5.277750000000001,84.375,13.17636638288223
4.16675,56.25,9.134526463943047
3.889,73.125,8.208216670180038
3.5415,61.875,7.099703819600222
2.84725,61.875,5.062437593096528
2.91675,112.5,5.255254710189245
2.84725,129.375,5.062437593096528
3.4724999999999997,163.125,6.886451518360943
3.33325,118.125,6.463164743582247
3.9582499999999996,56.25,8.435872198963997
4.514,73.125,10.341187435528802
4.3055,67.5,9.610291701625751
4.86125,61.875,11.600035866603553
5.5555,78.75,14.266613160280587
3.8889999999999993,56.25,8.208216670180036
4.09725,73.125,8.899453107822545
3.0555000000000003,33.75,5.647777078437783
4.16675,50.625,9.134526463943047
3.8195000000000006,39.375,7.981970112034359
3.5415,78.75,7.099703819600222
3.125,61.875,5.848136941263102
2.5,123.75,4.138157474923958
2.91675,118.125,5.255254710189245
3.611,135.0,7.316823974530247
2.84725,146.25,5.062437593096528
2.98625,264.375,5.450615567541376
3.611,219.375,7.316823974530247
3.0555000000000003,225.0,5.647777078437783
2.70825,101.25,4.684546619665715
4.375,258.75,9.851809123748527
2.70825,185.625,4.684546619665715
2.6390000000000002,168.75,4.500192119818044
2.5,33.75,4.138157474923958
3.40275,202.5,6.673237261632509
3.40275,202.5,6.673237261632509
2.6390000000000002,56.25,4.500192119818044
2.5,0.0,4.138157474923958
2.5,0.0,4.138157474923958
2.6390000000000002,78.75,4.500192119818044
2.5,78.75,4.138157474923958
2.8472500000000003,129.375,5.06243759309653
3.125,157.5,5.848136941263102
2.84725,135.0,5.062437593096528
2.91675,135.0,5.255254710189245
3.40275,90.0,6.673237261632509
2.84725,84.375,5.062437593096528
4.09725,118.125,8.899453107822545
3.2640000000000002,163.125,6.256230376842756
2.8472500000000003,78.75,5.06243759309653
2.77775,67.5,4.872191976121332
3.4722500000000003,112.5,6.8856830670634
3.2640000000000002,106.875,6.256230376842756
2.5,163.125,4.138157474923958
3.0555,73.125,5.647777078437782
3.75,78.75,7.757976593798801
3.1945,106.875,6.0509628046368045
2.9859999999999998,135.0,5.4499083042826575
2.6390000000000002,50.625,4.500192119818044
3.3335,118.125,6.463916120764778
2.98625,191.25,5.450615567541376
2.77775,112.5,4.872191976121332
2.5,0.0,4.138157474923958
2.91675,123.75,5.255254710189245
2.84725,180.0,5.062437593096528
3.0555000000000003,168.75,5.647777078437783
3.125,106.875,5.848136941263102
2.8472500000000003,78.75,5.06243759309653
3.125,118.125,5.848136941263102
4.09725,112.5,8.899453107822545
3.54175,163.125,7.100480662360756
3.2640000000000002,129.375,6.256230376842756
3.125,191.25,5.848136941263102
4.028,146.25,8.667396531905103
3.40275,185.625,6.673237261632509
3.0555000000000003,174.375,5.647777078437783
2.91675,180.0,5.255254710189245
2.70825,151.875,4.684546619665715
2.986,230.625,5.449908304282659
2.986,157.5,5.449908304282659
3.12525,157.5,5.848862126197345
2.84725,151.875,5.062437593096528
2.91675,135.0,5.255254710189245
3.75,101.25,7.757976593798801
4.3055,174.375,9.610291701625751
3.2640000000000002,185.625,6.256230376842756
3.3335,123.75,6.463916120764778
2.91675,191.25,5.255254710189245
2.70825,112.5,4.684546619665715
2.84725,140.625,5.062437593096528
2.6390000000000002,146.25,4.500192119818044
2.91675,146.25,5.255254710189245
3.264,258.75,6.256230376842754
3.1944999999999997,202.5,6.050962804636804
3.0555000000000003,174.375,5.647777078437783
2.6390000000000002,140.625,4.500192119818044
3.4722500000000003,163.125,6.8856830670634
3.6805000000000003,157.5,7.5362548124946995
2.7085,191.25,4.685216907820657
2.9167500000000004,118.125,5.255254710189246
3.19425,146.25,6.0502288251019705
3.125,174.375,5.848136941263102
2.70825,123.75,4.684546619665715
2.8472500000000003,180.0,5.06243759309653
2.84725,129.375,5.062437593096528
2.77775,95.625,4.872191976121332
2.5695,78.75,4.3178282569307
2.5,168.75,4.138157474923958
2.91675,140.625,5.255254710189245
2.5,185.625,4.138157474923958
2.5,185.625,4.138157474923958
3.0557499999999997,135.0,5.648493348396787
3.403,135.0,6.673997215106625
3.264,185.625,6.256230376842754
2.9859999999999998,118.125,5.4499083042826575
3.0555000000000003,101.25,5.647777078437783
2.6390000000000002,78.75,4.500192119818044
3.0555000000000003,135.0,5.647777078437783
3.125,163.125,5.848136941263102
2.9859999999999998,191.25,5.4499083042826575
3.1944999999999997,225.0,6.050962804636804
2.5,146.25,4.138157474923958
2.5,129.375,4.138157474923958
2.5,112.5,4.138157474923958
2.70825,196.875,4.684546619665715
3.125,225.0,5.848136941263102
2.77775,157.5,4.872191976121332
2.84725,185.625,5.062437593096528
3.0555,157.5,5.647777078437782
3.2640000000000002,174.375,6.256230376842756
2.70825,95.625,4.684546619665715
3.1945,90.0,6.0509628046368045
3.2640000000000002,225.0,6.256230376842756
3.125,118.125,5.848136941263102
2.84725,106.875,5.062437593096528
3.6805000000000003,163.125,7.5362548124946995
3.33325,112.5,6.463164743582247
2.98625,101.25,5.450615567541376
2.77775,95.625,4.872191976121332
2.91675,129.375,5.255254710189245
3.6112499999999996,95.625,7.317609165134066
2.986,135.0,5.449908304282659
3.125,90.0,5.848136941263102
3.3335,90.0,6.463916120764778
2.91675,208.125,5.255254710189245
3.40275,146.25,6.673237261632509
3.1945,101.25,6.0509628046368045
2.9859999999999998,135.0,5.4499083042826575
3.8194999999999997,208.125,7.981970112034356
2.5695,123.75,4.3178282569307
2.91675,101.25,5.255254710189245
3.40275,135.0,6.673237261632509
2.5,90.0,4.138157474923958
3.0555,106.875,5.647777078437782
2.7085,140.625,4.685216907820657
2.5,157.5,4.138157474923958
2.6390000000000002,118.125,4.500192119818044
2.778,118.125,4.8728716705207376
2.98625,118.125,5.450615567541376
2.77775,157.5,4.872191976121332
3.0557499999999997,185.625,5.648493348396787
2.91675,163.125,5.255254710189245
3.54175,78.75,7.100480662360756
3.95825,90.0,8.435872198963999
3.125,56.25,5.848136941263102
2.9859999999999998,95.625,5.4499083042826575
3.5417499999999995,118.125,7.100480662360755
2.77775,118.125,4.872191976121332
2.5,90.0,4.138157474923958
2.5695,45.0,4.3178282569307
2.5,112.5,4.138157474923958
2.6390000000000002,180.0,4.500192119818044
2.5,123.75,4.138157474923958
2.6390000000000002,180.0,4.500192119818044
2.5695,67.5,4.3178282569307
2.8472500000000003,73.125,5.06243759309653
3.0555,129.375,5.647777078437782
3.61125,84.375,7.317609165134067
3.1945,67.5,6.0509628046368045
3.33325,90.0,6.463164743582247
3.3332500000000005,112.5,6.463164743582248
3.264,90.0,6.256230376842754
3.4719999999999995,61.875,6.884914646195679
2.7780000000000005,106.875,4.872871670520739
2.986,56.25,5.449908304282659
3.75,118.125,7.757976593798801
3.3335,151.875,6.463916120764778
4.02775,118.125,8.666562728819049
3.6807499999999997,78.75,7.537048278950094
3.1945,129.375,6.0509628046368045
2.5,0.0,4.138157474923958
2.6390000000000002,22.5,4.500192119818044
4.514,84.375,10.341187435528802
4.02775,84.375,8.666562728819049
3.2637500000000004,185.625,6.255487656803735
3.26375,73.125,6.2554876568037345
3.54175,84.375,7.100480662360756
3.125,106.875,5.848136941263102
3.9585,84.375,8.436698058182944
3.5417500000000004,50.625,7.1004806623607575
3.33325,45.0,6.463164743582247
3.6109999999999998,84.375,7.316823974530245
3.33325,84.375,6.463164743582247
3.61125,56.25,7.317609165134067
3.6112500000000005,118.125,7.317609165134068
3.40275,45.0,6.673237261632509
3.33325,67.5,6.463164743582247
3.1944999999999997,84.375,6.050962804636804
2.84725,45.0,5.062437593096528
2.77775,61.875,4.872191976121332
2.9167500000000004,101.25,5.255254710189246
3.1945,73.125,6.0509628046368045
2.84725,123.75,5.062437593096528
3.125,90.0,5.848136941263102
2.91675,73.125,5.255254710189245
3.40275,106.875,6.673237261632509
3.1250000000000004,73.125,5.848136941263104
2.84725,101.25,5.062437593096528
3.264,123.75,6.256230376842754
2.84725,73.125,5.062437593096528
2.5,39.375,4.138157474923958
2.6390000000000002,61.875,4.500192119818044
4.30575,45.0,9.611156652850534
2.5,0.0,4.138157474923958
2.6390000000000002,56.25,4.500192119818044
3.8194999999999997,67.5,7.981970112034356
4.3055,106.875,9.610291701625751
4.65275,73.125,10.83802285683589
3.75,84.375,7.757976593798801
4.1667499999999995,84.375,9.134526463943043
4.09725,90.0,8.899453107822545
